,precision,recall,f1-score,support
Fake,0.8463894967177243,0.9639474995846486,0.9013515612863136,6019.0
Real,0.9656319290465631,0.8527272727272728,0.9056743909685087,7150.0
accuracy,0.9035613941833093,0.9035613941833093,0.9035613941833093,0.9035613941833093
macro avg,0.9060107128821437,0.9083373861559607,0.9035129761274111,13169.0
weighted avg,0.911131192454014,0.9035613941833093,0.9036986060298547,13169.0
